user_id,signup_date,country,region,plan_type,signup_channel,age_group
103,2024-10-17,Australia,Europe,Premium,Web,60+
104,2025-03-26,United Kingdom,Africa,Basic,Web,36-45
105,2025-02-22,United States,South America,Basic,Web,60+
106,2024-02-07,United Kingdom,Africa,Premium,Web,36-45
107,2024-07-16,France,North America,Standard,Web,46-60
108,2025-07-13,Russia,Africa,Standard,Smart Tv,46-60
109,2025-09-26,Mexico,Unknown,Basic,Web,60+
110,2024-04-30,United Kingdom,Europe,Basic,Web,18-25
111,2024-10-22,United States,Europe,Premium,Smart Tv,36-45
112,2023-11-27,France,South America,Standard,Mobile App,60+
113,2024-11-19,Mexico,Europe,Basic,Smart Tv,46-60
114,2023-11-06,Spain,North America,Basic,Mobile App,36-45
115,2025-05-01,Brazil,Africa,Basic,Web,36-45
116,2024-05-22,Russia,Asia,Premium,Web,46-60
117,2023-11-03,Russia,Europe,Standard,Smart Tv,60+
118,2024-08-18,India,Africa,Standard,Smart Tv,60+
119,2024-04-18,South Korea,South America,Standard,Mobile App,60+
120,2023-12-01,South Africa,Africa,Premium,Web,18-25
121,2025-09-09,Spain,Europe,Standard,Mobile App,26-35
122,2024-12-20,Sweden,Europe,Standard,Mobile App,46-60
123,2025-04-28,Egypt,Europe,Basic,Web,36-45
124,2025-03-23,Germany,North America,Standard,Mobile App,26-35
125,2024-08-17,France,Africa,Basic,Web,26-35
126,2025-08-17,Spain,Asia,Standard,Mobile App,60+
127,2025-09-17,South Korea,North America,Basic,Web,60+
128,2025-02-25,Russia,Asia,Basic,Web,26-35
129,2024-09-12,Japan,Europe,Basic,Mobile App,18-25
130,2024-01-25,Germany,Asia,Basic,Mobile App,36-45
131,2025-06-02,South Korea,Asia,Basic,Web,18-25
132,2025-08-08,Spain,North America,Basic,Web,60+
133,2025-05-25,South Africa,North America,Basic,Mobile App,60+
134,2024-02-07,Canada,Africa,Basic,Mobile App,46-60
135,2024-10-25,India,Asia,Premium,Mobile App,26-35
136,2025-01-11,South Korea,North America,Basic,Web,60+
137,2025-04-03,Italy,Africa,Basic,Mobile App,46-60
138,2024-01-08,China,Asia,Standard,Web,18-25
139,2024-08-08,China,Asia,Premium,Web,36-45
140,2023-12-27,Egypt,Europe,Basic,Mobile App,36-45
141,2024-10-21,Japan,North America,Basic,Mobile App,26-35
142,2024-03-13,Spain,South America,Standard,Web,60+
143,2024-01-12,United States,North America,Basic,Web,36-45
144,2023-12-03,United States,Europe,Premium,Mobile App,46-60
145,2023-12-23,Egypt,Africa,Standard,Web,18-25
146,2025-01-04,South Korea,North America,Standard,Web,46-60
147,2024-05-16,Brazil,Asia,Standard,Mobile App,60+
148,2025-09-21,United Kingdom,South America,Basic,Web,60+
149,2024-09-28,Spain,Africa,Basic,Web,26-35
150,2025-03-11,Italy,North America,Basic,Mobile App,26-35
151,2025-01-26,Australia,Africa,Standard,Web,60+
152,2025-09-15,Brazil,Asia,Premium,Mobile App,26-35
153,2024-09-16,France,South America,Basic,Mobile App,60+
154,2024-02-08,United States,Asia,Basic,Mobile App,60+
155,2024-01-29,South Africa,South America,Standard,Mobile App,60+
156,2025-10-05,India,Africa,Basic,Web,26-35
157,2023-12-20,China,North America,Basic,Web,60+
158,2024-07-27,Russia,South America,Premium,Web,36-45
159,2025-05-28,Brazil,Asia,Premium,Mobile App,18-25
160,2025-05-07,Egypt,South America,Premium,Web,46-60
161,2025-04-24,Sweden,Africa,Basic,Mobile App,18-25
162,2023-11-02,Sweden,Africa,Basic,Web,26-35
163,2024-02-03,Egypt,Africa,Standard,Smart Tv,36-45
164,2024-09-22,China,North America,Basic,Web,60+
165,2025-08-24,Spain,Africa,Basic,Mobile App,36-45
166,2024-11-08,Canada,North America,Standard,Mobile App,46-60
167,2024-08-19,United Kingdom,Europe,Standard,Mobile App,18-25
168,2024-10-14,Sweden,South America,Standard,Mobile App,26-35
169,2025-06-02,France,Asia,Basic,Web,26-35
170,2025-05-15,Sweden,North America,Standard,Mobile App,60+
171,2025-08-24,Sweden,North America,Standard,Web,60+
172,2025-07-19,Sweden,Asia,Basic,Web,18-25
173,2024-12-16,Canada,South America,Standard,Web,26-35
174,2024-04-06,Canada,Unknown,Standard,Web,18-25
175,2024-08-20,France,South America,Basic,Web,18-25
176,2023-12-27,United States,North America,Standard,Mobile App,60+
177,2024-11-06,United States,Africa,Basic,Smart Tv,36-45
178,2025-06-21,South Africa,Europe,Premium,Mobile App,60+
179,2025-02-24,Canada,Asia,Standard,Web,18-25
180,2025-06-30,China,South America,Standard,Web,60+
181,2023-12-16,Italy,Africa,Basic,Web,26-35
182,2025-05-01,Germany,Asia,Premium,Web,26-35
183,2024-06-11,Japan,South America,Premium,Mobile App,18-25
184,2025-10-07,Sweden,North America,Basic,Web,18-25
185,2025-10-09,Italy,North America,Premium,Web,36-45
186,2023-12-04,France,North America,Standard,Smart Tv,46-60
187,2024-08-31,Egypt,Europe,Standard,Mobile App,26-35
188,2023-10-30,Canada,North America,Basic,Smart Tv,46-60
189,2025-04-22,Italy,North America,Basic,Web,26-35
190,2023-10-18,Japan,North America,Standard,Mobile App,26-35
191,2024-01-03,Netherlands,Africa,Basic,Web,26-35
192,2025-09-16,Netherlands,Asia,Premium,Web,36-45
193,2025-08-21,United States,Europe,Premium,Web,26-35
194,2025-08-05,Brazil,South America,Standard,Web,18-25
195,2024-08-21,Italy,Europe,Basic,Web,46-60
196,2024-03-07,Netherlands,Asia,Standard,Web,26-35
197,2025-08-30,United Kingdom,North America,Basic,Smart Tv,46-60
198,2025-09-13,Egypt,North America,Premium,Web,36-45
199,2024-09-30,Germany,South America,Standard,Smart Tv,18-25
200,2024-05-04,South Africa,Europe,Basic,Web,36-45
201,2023-12-21,United Kingdom,Europe,Standard,Mobile App,26-35
202,2024-11-10,South Africa,South America,Basic,Web,60+
203,2025-08-22,Egypt,Europe,Basic,Web,60+
204,2024-04-30,Spain,Europe,Basic,Web,36-45
205,2024-11-01,Egypt,Europe,Premium,Mobile App,26-35
206,2025-01-03,Brazil,South America,Standard,Mobile App,60+
207,2024-02-22,United States,South America,Basic,Mobile App,36-45
208,2023-12-31,Australia,Asia,Basic,Web,36-45
209,2023-11-10,Spain,Europe,Standard,Web,36-45
210,2024-04-27,Norway,Asia,Standard,Mobile App,46-60
211,2025-02-02,Australia,Africa,Basic,Mobile App,18-25
212,2024-02-10,United States,Africa,Standard,Web,26-35
213,2024-02-17,Japan,Europe,Basic,Web,60+
214,2023-11-04,Norway,North America,Premium,Mobile App,60+
215,2025-07-08,India,Africa,Basic,Web,26-35
216,2024-09-02,United Kingdom,North America,Premium,Mobile App,60+
217,2024-02-17,Spain,Asia,Standard,Web,26-35
218,2025-05-01,Netherlands,Europe,Premium,Web,36-45
219,2024-10-01,Netherlands,Asia,Standard,Mobile App,18-25
220,2024-03-09,Egypt,Asia,Premium,Web,18-25
221,2024-07-16,Sweden,South America,Basic,Web,46-60
222,2024-05-21,Canada,Europe,Basic,Mobile App,26-35
223,2024-03-28,United States,South America,Basic,Web,60+
224,2023-10-17,Netherlands,Asia,Basic,Smart Tv,60+
225,2025-04-12,China,North America,Premium,Mobile App,36-45
226,2025-10-10,France,Europe,Basic,Web,36-45
227,2025-09-27,France,Europe,Premium,Mobile App,46-60
228,2024-09-11,Brazil,Africa,Standard,Web,60+
229,2024-06-14,Brazil,North America,Premium,Mobile App,18-25
230,2024-06-13,United Kingdom,North America,Basic,Mobile App,26-35
231,2025-05-19,South Africa,Asia,Basic,Web,60+
232,2024-04-09,Netherlands,Asia,Basic,Mobile App,36-45
233,2025-03-13,Netherlands,Asia,Standard,Web,46-60
234,2025-05-31,United Kingdom,Africa,Premium,Web,18-25
235,2025-06-11,Egypt,North America,Basic,Web,46-60
236,2024-01-10,United States,South America,Standard,Mobile App,36-45
237,2025-08-02,Egypt,North America,Basic,Web,36-45
238,2024-10-01,Japan,South America,Premium,Smart Tv,26-35
239,2023-12-30,Sweden,Europe,Premium,Web,18-25
240,2024-07-17,Australia,South America,Basic,Mobile App,36-45
241,2024-12-17,Germany,Europe,Standard,Web,36-45
242,2024-04-14,Italy,Asia,Standard,Mobile App,60+
243,2025-03-31,Australia,North America,Standard,Smart Tv,18-25
244,2025-10-03,Egypt,Asia,Basic,Smart Tv,36-45
245,2023-12-02,United Kingdom,North America,Premium,Web,18-25
246,2024-04-08,Netherlands,South America,Basic,Mobile App,26-35
247,2025-06-30,United Kingdom,North America,Standard,Web,36-45
248,2024-07-14,Norway,South America,Basic,Web,18-25
249,2023-10-27,Mexico,North America,Standard,Web,60+
250,2024-02-26,Norway,Europe,Premium,Mobile App,46-60
251,2025-01-19,Canada,South America,Basic,Web,60+
252,2025-06-10,United Kingdom,Asia,Premium,Web,46-60
253,2024-09-22,Netherlands,Asia,Standard,Web,18-25
254,2023-11-03,Brazil,Asia,Basic,Web,26-35
255,2025-07-25,Germany,Asia,Basic,Mobile App,60+
256,2024-10-24,United States,Europe,Standard,Mobile App,46-60
257,2025-09-04,Germany,Europe,Basic,Web,46-60
258,2025-05-06,United States,Africa,Premium,Web,46-60
259,2025-05-20,Mexico,Africa,Basic,Web,26-35
260,2025-06-08,Netherlands,Africa,Standard,Web,26-35
261,2025-09-19,Egypt,Africa,Standard,Web,46-60
262,2025-02-10,Australia,North America,Basic,Web,36-45
263,2023-12-22,Spain,South America,Premium,Web,46-60
264,2025-09-24,United Kingdom,Asia,Basic,Smart Tv,26-35
265,2024-08-16,Sweden,North America,Premium,Mobile App,60+
266,2024-01-08,United States,Europe,Basic,Mobile App,36-45
267,2025-05-25,Netherlands,Asia,Basic,Mobile App,60+
268,2024-06-13,China,South America,Premium,Web,46-60
269,2025-09-12,South Africa,South America,Standard,Web,60+
270,2024-02-03,Mexico,Europe,Standard,Web,18-25
271,2024-12-27,Italy,Asia,Basic,Mobile App,36-45
272,2024-09-06,Italy,Africa,Basic,Mobile App,18-25
273,2024-10-28,South Korea,Asia,Standard,Smart Tv,36-45
274,2024-07-14,South Africa,Asia,Standard,Mobile App,26-35
275,2025-03-10,Australia,South America,Basic,Web,36-45
276,2024-08-11,Canada,Europe,Basic,Mobile App,26-35
277,2023-11-01,United States,Asia,Premium,Mobile App,18-25
278,2025-03-24,Russia,North America,Premium,Web,60+
279,2024-08-28,United States,North America,Basic,Web,26-35
280,2024-09-17,France,Europe,Standard,Mobile App,26-35
281,2025-03-24,Netherlands,Africa,Basic,Mobile App,46-60
282,2025-01-14,South Africa,Asia,Premium,Mobile App,46-60
283,2024-05-24,Germany,Asia,Basic,Web,36-45
284,2025-06-12,United Kingdom,South America,Standard,Smart Tv,46-60
285,2025-01-04,Sweden,Asia,Standard,Web,26-35
286,2025-08-30,Sweden,Africa,Basic,Web,18-25
287,2024-09-09,China,Asia,Standard,Web,26-35
288,2025-01-29,Mexico,Asia,Basic,Mobile App,46-60
289,2024-06-02,Italy,South America,Basic,Web,36-45
290,2024-10-02,United Kingdom,North America,Standard,Web,46-60
291,2025-05-01,Brazil,North America,Premium,Web,60+
292,2025-05-15,France,Africa,Premium,Mobile App,26-35
293,2025-09-17,Sweden,Europe,Premium,Web,60+
294,2024-05-06,Mexico,Europe,Premium,Mobile App,18-25
295,2024-11-11,United Kingdom,South America,Standard,Web,36-45
296,2023-11-16,United States,Asia,Basic,Mobile App,36-45
297,2024-04-26,Egypt,South America,Premium,Mobile App,18-25
298,2023-12-22,United States,North America,Basic,Mobile App,36-45
299,2025-04-19,United Kingdom,Africa,Premium,Web,60+
300,2024-12-13,Norway,Europe,Standard,Web,46-60
301,2025-07-06,India,Asia,Standard,Web,60+
302,2024-02-17,United Kingdom,Europe,Basic,Mobile App,36-45
303,2025-05-29,Australia,North America,Basic,Web,26-35
304,2025-04-17,Mexico,Asia,Standard,Web,36-45
305,2025-01-19,Norway,North America,Basic,Mobile App,60+
306,2023-10-18,Russia,Europe,Basic,Mobile App,60+
307,2024-10-18,Canada,Europe,Basic,Mobile App,46-60
308,2024-01-28,India,North America,Standard,Web,36-45
309,2024-12-09,Canada,Asia,Standard,Mobile App,46-60
310,2025-09-02,Sweden,North America,Standard,Web,46-60
311,2024-08-23,Australia,Asia,Basic,Web,18-25
312,2024-06-27,United States,South America,Standard,Web,26-35
313,2025-04-15,Brazil,South America,Basic,Web,26-35
314,2025-08-25,Japan,Asia,Basic,Web,26-35
315,2025-05-03,Netherlands,North America,Standard,Mobile App,18-25
316,2025-01-06,Spain,Asia,Standard,Mobile App,46-60
317,2024-07-07,India,Europe,Standard,Mobile App,60+
318,2024-04-02,United Kingdom,North America,Standard,Mobile App,18-25
319,2024-07-17,Norway,Asia,Standard,Web,60+
320,2025-02-24,South Korea,Europe,Basic,Web,60+
321,2025-10-10,Spain,Africa,Basic,Mobile App,18-25
322,2024-08-23,Germany,Europe,Basic,Web,36-45
323,2024-10-18,South Korea,Asia,Premium,Smart Tv,18-25
324,2025-08-07,Egypt,North America,Basic,Mobile App,36-45
325,2025-01-28,United States,North America,Premium,Web,60+
326,2024-07-05,Australia,South America,Standard,Web,46-60
327,2023-10-20,Mexico,Asia,Standard,Mobile App,46-60
328,2025-08-08,Netherlands,Europe,Standard,Web,36-45
329,2023-12-07,Mexico,Europe,Standard,Web,18-25
330,2025-01-27,China,Asia,Basic,Mobile App,36-45
331,2024-03-11,South Africa,Europe,Basic,Mobile App,46-60
332,2024-06-06,Russia,Africa,Basic,Web,60+
333,2025-08-03,Canada,South America,Premium,Web,60+
334,2023-12-08,Canada,North America,Standard,Web,26-35
335,2025-09-13,South Africa,Europe,Standard,Mobile App,36-45
336,2024-05-12,Sweden,Africa,Premium,Web,18-25
337,2024-01-26,Egypt,Asia,Standard,Mobile App,18-25
338,2023-12-09,India,Europe,Basic,Mobile App,26-35
339,2025-07-19,Italy,Asia,Premium,Mobile App,26-35
340,2025-05-28,Russia,Africa,Basic,Mobile App,26-35
341,2025-02-19,Japan,Africa,Basic,Web,46-60
342,2025-10-13,France,North America,Basic,Mobile App,36-45
343,2024-05-12,United States,Asia,Standard,Web,36-45
344,2025-09-26,Australia,South America,Premium,Web,26-35
345,2025-07-09,China,North America,Standard,Mobile App,60+
346,2025-07-29,China,Asia,Standard,Web,46-60
347,2023-12-27,France,Asia,Standard,Web,26-35
348,2025-04-13,Spain,Africa,Standard,Mobile App,18-25
349,2025-07-20,Germany,Africa,Standard,Web,26-35
350,2025-03-01,Italy,Asia,Basic,Mobile App,36-45
351,2025-02-11,South Korea,Unknown,Basic,Smart Tv,36-45
352,2023-12-12,Egypt,Asia,Basic,Smart Tv,18-25
353,2024-10-21,Russia,Asia,Standard,Mobile App,60+
354,2025-09-13,United Kingdom,Unknown,Standard,Mobile App,18-25
355,2024-06-27,Australia,North America,Standard,Web,26-35
356,2024-04-04,Egypt,South America,Basic,Mobile App,46-60
357,2024-07-19,Netherlands,North America,Basic,Mobile App,26-35
358,2025-03-06,South Korea,Europe,Standard,Web,46-60
359,2024-09-02,Norway,Europe,Basic,Web,60+
360,2025-01-04,India,Africa,Standard,Mobile App,60+
361,2025-04-09,South Africa,Europe,Premium,Web,36-45
362,2025-02-05,Sweden,North America,Basic,Mobile App,60+
363,2025-04-07,South Africa,South America,Basic,Mobile App,36-45
364,2025-02-24,France,Asia,Premium,Mobile App,46-60
365,2024-08-02,Brazil,South America,Basic,Web,36-45
366,2025-01-16,China,North America,Premium,Mobile App,18-25
367,2024-03-05,United States,North America,Premium,Web,36-45
368,2024-01-03,United States,North America,Standard,Web,36-45
369,2024-06-14,Russia,Africa,Standard,Web,60+
370,2023-12-07,Canada,Europe,Basic,Web,60+
371,2024-09-08,Netherlands,North America,Basic,Web,46-60
372,2024-04-28,Australia,Asia,Standard,Web,26-35
373,2025-08-26,South Korea,Europe,Standard,Web,26-35
374,2025-08-28,United States,Europe,Premium,Web,60+
375,2025-02-20,Netherlands,Africa,Standard,Web,46-60
376,2025-05-07,Spain,South America,Standard,Web,36-45
377,2025-08-10,France,Europe,Basic,Web,36-45
378,2025-08-23,United Kingdom,Unknown,Standard,Web,60+
379,2023-10-24,China,North America,Basic,Smart Tv,18-25
380,2025-02-08,Netherlands,Asia,Standard,Smart Tv,46-60
381,2025-04-02,South Africa,North America,Premium,Web,26-35
382,2025-06-21,France,Asia,Standard,Mobile App,18-25
383,2024-09-02,Mexico,Europe,Basic,Mobile App,18-25
384,2024-05-23,France,Asia,Standard,Mobile App,26-35
385,2024-08-11,Russia,North America,Premium,Mobile App,46-60
386,2024-11-24,Sweden,North America,Standard,Web,18-25
387,2024-11-30,Mexico,South America,Standard,Web,36-45
388,2024-11-10,Egypt,Africa,Standard,Web,36-45
389,2024-07-25,France,South America,Premium,Smart Tv,26-35
390,2024-08-03,China,Europe,Basic,Web,36-45
391,2024-02-29,Netherlands,Asia,Premium,Web,26-35
392,2024-09-12,Netherlands,North America,Premium,Mobile App,26-35
393,2024-06-16,Spain,North America,Standard,Web,46-60
394,2025-05-17,Germany,North America,Standard,Mobile App,18-25
395,2025-01-14,United States,North America,Premium,Web,46-60
396,2025-08-31,France,Europe,Premium,Mobile App,60+
397,2025-05-21,India,Africa,Premium,Smart Tv,26-35
398,2024-06-15,France,South America,Standard,Mobile App,26-35
399,2024-08-09,Germany,South America,Basic,Mobile App,46-60
400,2025-04-12,Canada,North America,Basic,Mobile App,18-25
401,2024-03-15,Egypt,North America,Premium,Web,18-25
402,2025-05-11,India,Asia,Standard,Web,18-25
403,2024-12-05,South Africa,North America,Basic,Mobile App,18-25
404,2025-06-20,United States,South America,Basic,Web,26-35
405,2025-01-27,France,Asia,Basic,Web,26-35
406,2025-08-19,South Korea,Asia,Basic,Mobile App,18-25
407,2024-12-18,Germany,North America,Premium,Web,46-60
408,2024-07-16,Netherlands,Asia,Premium,Web,46-60
409,2024-10-07,Netherlands,Africa,Premium,Mobile App,26-35
410,2024-07-20,Canada,North America,Basic,Mobile App,46-60
411,2024-10-19,Sweden,Africa,Basic,Mobile App,18-25
412,2025-01-20,Egypt,North America,Basic,Smart Tv,60+
413,2025-06-24,China,Africa,Basic,Mobile App,36-45
414,2023-10-23,Norway,North America,Basic,Mobile App,36-45
415,2024-01-17,United Kingdom,South America,Premium,Web,26-35
416,2025-08-30,United States,North America,Premium,Mobile App,18-25
417,2024-02-24,United States,South America,Basic,Mobile App,60+
418,2024-04-01,South Africa,Europe,Basic,Mobile App,18-25
419,2023-10-26,Japan,Europe,Basic,Web,18-25
420,2024-05-04,France,North America,Standard,Mobile App,26-35
421,2025-08-30,China,South America,Standard,Mobile App,26-35
422,2023-12-07,United Kingdom,South America,Standard,Web,36-45
423,2023-12-07,United States,Asia,Premium,Web,46-60
424,2024-01-14,United States,Asia,Basic,Mobile App,18-25
425,2024-12-05,Australia,Africa,Basic,Mobile App,46-60
426,2024-05-03,India,Asia,Basic,Web,18-25
427,2024-06-08,Japan,North America,Basic,Web,18-25
428,2025-07-04,China,Asia,Standard,Web,46-60
429,2025-05-09,South Korea,Asia,Basic,Smart Tv,18-25
430,2025-07-16,China,North America,Standard,Mobile App,18-25
431,2024-08-17,Mexico,North America,Standard,Web,18-25
432,2025-09-21,Canada,Africa,Standard,Mobile App,26-35
433,2023-11-07,South Africa,South America,Basic,Web,18-25
434,2025-04-18,Norway,Asia,Standard,Mobile App,36-45
435,2023-11-17,United Kingdom,Europe,Basic,Web,36-45
436,2024-03-04,Sweden,South America,Premium,Mobile App,46-60
437,2025-01-27,Australia,North America,Standard,Smart Tv,60+
438,2024-08-25,India,Asia,Basic,Mobile App,18-25
439,2024-11-17,Canada,Africa,Standard,Web,60+
440,2024-01-29,South Africa,Europe,Basic,Mobile App,46-60
441,2025-01-18,Brazil,South America,Basic,Mobile App,26-35
442,2025-04-23,Spain,Asia,Basic,Mobile App,36-45
443,2024-04-23,Germany,North America,Basic,Smart Tv,26-35
444,2024-11-22,Norway,South America,Premium,Smart Tv,18-25
445,2025-03-24,South Korea,Europe,Standard,Web,60+
446,2025-09-24,Japan,North America,Basic,Mobile App,36-45
447,2024-05-04,Germany,Europe,Standard,Smart Tv,36-45
448,2024-06-18,Germany,Asia,Standard,Web,46-60
449,2024-10-07,India,South America,Basic,Smart Tv,46-60
450,2024-07-23,France,Africa,Standard,Smart Tv,26-35
451,2024-02-06,Brazil,Asia,Standard,Mobile App,36-45
452,2024-03-06,United Kingdom,Asia,Basic,Smart Tv,36-45
453,2024-02-25,Sweden,Africa,Standard,Mobile App,60+
454,2023-12-08,United Kingdom,Africa,Premium,Mobile App,36-45
455,2025-09-18,Netherlands,North America,Basic,Web,18-25
456,2025-08-30,Germany,Europe,Standard,Mobile App,18-25
457,2023-11-16,Norway,Asia,Premium,Mobile App,46-60
458,2024-03-14,Sweden,North America,Premium,Mobile App,18-25
459,2023-11-02,Spain,North America,Standard,Mobile App,36-45
460,2024-11-23,France,Asia,Standard,Mobile App,60+
461,2024-01-19,China,Europe,Standard,Smart Tv,18-25
462,2025-01-30,Sweden,Africa,Premium,Mobile App,60+
463,2025-04-02,South Korea,Asia,Basic,Web,18-25
464,2024-05-17,United Kingdom,Europe,Standard,Mobile App,26-35
465,2024-07-22,Brazil,Africa,Basic,Mobile App,26-35
466,2023-12-28,Sweden,South America,Basic,Mobile App,18-25
467,2023-12-30,Sweden,Asia,Standard,Web,26-35
468,2024-10-25,Egypt,Asia,Standard,Mobile App,60+
469,2024-09-04,Netherlands,Europe,Basic,Web,60+
470,2024-07-23,South Korea,North America,Basic,Web,36-45
471,2023-12-17,South Africa,North America,Basic,Mobile App,26-35
472,2025-05-21,Sweden,Unknown,Premium,Mobile App,60+
473,2025-08-14,Germany,Asia,Standard,Web,36-45
474,2025-07-02,China,Asia,Standard,Mobile App,26-35
475,2025-10-01,Brazil,Asia,Premium,Mobile App,46-60
476,2025-06-18,South Africa,South America,Standard,Mobile App,46-60
